,tweet_id,retweets,likes
0,892420643555336193,8666,39039
1,892177421306343426,6366,33431
2,891815181378084864,4227,25201
3,891689557279858688,8771,42401
4,891327558926688256,9549,40553
5,891087950875897856,3168,20343
6,890971913173991426,2109,11930
7,890729181411237888,19207,65983
8,890609185150312448,4328,27931
9,890240255349198849,7543,32145
10,890006608113172480,7455,30828
11,889880896479866881,5044,27956
12,889665388333682689,10231,48349
13,889638837579907072,4616,27354
14,889531135344209921,2264,15186
15,889278841981685760,5533,25439
16,888917238123831296,4574,29268
17,888804989199671297,4424,25754
18,888554962724278272,3652,20053
19,888078434458587136,3567,21910
20,887705289381826560,5482,30383
21,887517139158093824,11847,46492
22,887473957103951883,18522,69572
23,887343217045368832,10565,33883
24,887101392804085760,6058,30748
25,886983233522544640,7890,35412
26,886736880519319552,3353,12158
27,886680336477933568,4543,22581
28,886366144734445568,3237,21263
29,886267009285017600,4,117
30,886258384151887873,6393,28153
31,886054160059072513,105,0
32,885984800019947520,6919,32937
33,885528943205470208,6544,36224
34,885518971528720385,3821,20555
35,885311592912609280,18870,0
36,885167619883638784,4453,22086
37,884925521741709313,18810,78012
38,884876753390489601,5942,28126
39,884562892145688576,5000,24463
40,884441805382717440,5741,27172
41,884247878851493888,20749,73464
42,884162670584377345,3041,20506
43,883838122936631299,3503,22048
44,883482846933004288,10149,46270
45,883360690899218434,3748,22694
46,883117836046086144,6781,37464
47,882992080364220416,3999,24084
48,882762694511734784,5002,28513
49,882627270321602560,6185,28054
50,882268110199369728,11802,45259
51,882045870035918850,5068,29550
52,881906580714921986,3447,24451
53,881666595344535552,10865,50892
54,881633300179243008,7,129
55,881536004380872706,16259,49753
56,881268444196462592,5239,23212
57,880935762899988482,2827,17123
58,880872448815771648,3892,21444
59,880465832366813184,6396,28708
60,880221127280381952,4311,27263
61,880095782870896641,4430,27804
62,879862464715927552,3562,22441
63,879674319642796034,10,314
64,879492040517615616,3244,23550
65,879415818425184262,44963,106633
66,879376492567855104,3172,16880
67,879130579576475649,6986,0
68,879050749262655488,4808,22745
69,879008229531029506,2742,19078
70,878776093423087618,4208,19515
71,878604707211726852,7390,30486
72,878404777348136964,1318,0
